,hotelName,price
0,OYO 16631 Greenstar Inn,3203
1,Collection O 35655 Hotel Kalinga,5280
2,Mayfair Lagoon,None
3,Treebo Aatithya,1917
4,Hotel Kumud Plaza,1800
5,OYO 28685 Hotel Villaggio,2606
6,Hotel Mahabir Galaxy,50000
7,OYO 9010 Hotel Railview,2606
8,OYO 14988 Regal Stays,2933
9,FabHotel Pentagon,2086
10,"Trident, Bhubaneswar",None
11,Capital O 28034 Triple Tree Hotels & Resorts,5209
12,Hotel Park Resort,1699
13,OYO 5417 Hotel Venus Heritage,1554
14,OYO 13527 Usha Residdency,3890
15,Hotel Tara Residency,2280
16,Hotel Sambit Royale,2000
17,Hotel Pushpak,2600
18,OYO 15380 Sai Swastik,1650
19,Hotel Durene,2999
20,OYO 18686 Aradhya Residency,1495
21,CS Imperial Stay,1299
22,OYO 18658 Hotel Royal Green,2573
23,Hotel Nirmala Residency,999
24,Hotel Eden Roc,1800
25,Collection O 29524 The Urban Park,5082
26,Hotel Sambit Palace,1800
27,Hotel Arya Palace,2300
28,OYO 19602 Omm Residency,2601
29,OYO 17435 The Pinnacle Home Stay,5881
30,Saraswati Retreat,2229
31,Collection O 30111 Hotel Miland Palace,4906
32,OYO 60003 Hotel Santosh,1269
33,OYO 16407 Hotel Dream Castle,4643
34,OYO 9009 near Railway Station,10000
35,OYO 37181 Stay Ekante,1297
36,VITS Bhubaneshwar,3999
37,OYO 10511 Nayapalli,2172
38,OYO 14041 Evolve Residency,1029
39,OYO 19144 Hotel Rainbow,3155
40,OYO 43512 Bijaya Palace,1753
41,OYO 9855 Hotel Royal Suites,4105
42,OYO 14489 Hotel Aryan,2886
43,The Suncity,2499
44,OYO 23382 Sai Gourav Residence,3476
45,Pal Heights,5600
46,OYO 11408 Hotel Sai Jagannath,1834
47,OYO 4526 Jaydev Vihar,1780
48,OYO 24789 Sidharth International,3132
49,Hotel Swosti Premium,3599
50,OYO 3393 Midway Inn,1879
51,Hotel Golden Orchid,2149
52,Hotel Suryansh,4500
53,OYO 17194 Ma Sum Palace,1297
54,OYO 22630 The Dream Palace,2725
55,The Extended Stay,900
56,Hotel Sandy's Tower,7999
57,OYO 11946 Greenland Inn,1617
58,OYO 2279 Greenwood Galaxy,1533
59,OYO 4110 near Apollo Hospital,2098
60,OYO 8741 Shree Jagannath Palace,2010
61,OYO 16363 Advik Cottage,2847
62,OYO 4108 near Kalinga Hospital,1563
63,OYO 15441 Apollo Paradise Guest House,2860
64,OYO 15084 Lotus Residency,2682
65,The Extended Stay 2,999
66,Collection O 19529 Hotel Bhinna Sakala,4855
67,OYO 22510 Ma Classic Inn,3944
68,krtatithya,1549
69,OYO 14712 The New Garden Inn,2682
70,OYO 4877 Chandrasekharpur,1341
71,OYO 10800 Ma Homestay,1672
72,OYO 13924 Shree Gopal Residency,2886
73,OYO 43835 Imperial Stays,1219
74,The Extended Stay 1,900
75,OYO 22547 Avigna Residency,2618
76,Nilay Residency,2100
77,FabExpress 7 Sandz,1370
78,OYO 13859 Soveet Residency,1240
79,SR Corporate Homes,1400
80,OYO 17276 The Maple Tree Hotels,2669
81,OYO 7674 Hotel Stellar,3856
82,Hotel Royal Guest House,1600
83,OYO 11345 Hotel White House Inn,1453
84,OYO 3803 Hotel Lal Quila,2840
85,OYO 9564 near KIIT University,3035
86,OYO 48754 Arati Homes,1191
87,OYO 26670 The Ranch,2550
88,OYO 46929 Royal Blues,1195
89,OYO 13624 Kapoors Plaza Guest House,2741
90,OYO 10493 near Patia,1597
91,OYO 24739 Ap Guest House,2522
92,Capital O 28420 The Kanchan Plaza,3608
93,Hotel Landmark,2280
94,OYO 23598 Home Elite Stay Nandankanan Park,1787
95,OYO 16722 The Countryside Resort,2618
96,OYO 46710 La Grace Inn,1889
97,OYO 26808 Shree Ram Residency,2680
98,SPOT ON 44329 Sri Krishna Inn Lodging & Boarding,913
99,OYO 11547 Hotel Mona Palace,2320
100,Collection O 186 Hotel Triple C,3084
101,Hotel Bnson Blue,2600
102,OYO 9964 Hotel Shine,4224
103,MAYFAIR Convention,None
104,Sapphire Plaza,None
105,OYO 1359 Hotel Best Inn,None
106,OYO 6680 Hotel Galaxy International,None
