,hotelName,price
0,Hotel Park Resort,1699
1,OYO 9010 Hotel Railview,2606
2,VITS Bhubaneshwar,3999
3,Hotel Eden Roc,1800
4,OYO 9855 Hotel Royal Suites,4105
5,Hotel Swosti Premium,3599
6,Pal Heights,5600
7,Hotel Golden Orchid,2149
8,krtatithya,1549
9,FabHotel Pentagon,2086
10,CS Imperial Stay,1299
11,Hotel Kumud Plaza,1800
12,Hotel Tara Residency,2280
13,OYO 16631 Greenstar Inn,3203
14,Collection O 29524 The Urban Park,5082
15,Hotel Durene,2999
16,OYO 15380 Sai Swastik,1650
17,Treebo Aatithya,1917
18,Capital O 28034 Triple Tree Hotels & Resorts,5209
19,OYO 14988 Regal Stays,2933
20,Collection O 30111 Hotel Miland Palace,4906
21,Collection O 35655 Hotel Kalinga,5280
22,OYO 18686 Aradhya Residency,1495
23,OYO 5417 Hotel Venus Heritage,1554
24,Hotel Sambit Royale,2000
25,OYO 13527 Usha Residdency,3890
26,Hotel Nirmala Residency,999
27,OYO 3393 Midway Inn,1879
28,OYO 4526 Jaydev Vihar,1780
29,OYO 16407 Hotel Dream Castle,4643
30,OYO 19602 Omm Residency,2601
31,OYO 24789 Sidharth International,3132
32,OYO 19144 Hotel Rainbow,3155
33,SR Corporate Homes,1400
34,OYO 37181 Stay Ekante,1297
35,OYO 23382 Sai Gourav Residence,3476
36,OYO 9009 near Railway Station,10000
37,OYO 4110 near Apollo Hospital,2098
38,The Extended Stay,900
39,OYO 10511 Nayapalli,2172
40,The Extended Stay 2,999
41,OYO 60003 Hotel Santosh,1269
42,Hotel Arya Palace,2300
43,OYO 17194 Ma Sum Palace,1297
44,Collection O 19529 Hotel Bhinna Sakala,4855
45,OYO 8741 Shree Jagannath Palace,2010
46,Hotel Sandy's Tower,7999
47,OYO 22630 The Dream Palace,2725
48,OYO 4108 near Kalinga Hospital,1563
49,The Suncity,2499
50,Nilay Residency,2100
51,OYO 18658 Hotel Royal Green,2573
52,Hotel Pushpak,2600
53,OYO 14041 Evolve Residency,1029
54,Hotel Suryansh,4500
55,OYO 43835 Imperial Stays,1219
56,OYO 14489 Hotel Aryan,2886
57,OYO 3803 Hotel Lal Quila,2840
58,The Extended Stay 1,900
59,OYO 13859 Soveet Residency,1240
60,OYO 22510 Ma Classic Inn,3944
61,OYO 7674 Hotel Stellar,3856
62,OYO 17435 The Pinnacle Home Stay,5881
63,OYO 43512 Bijaya Palace,1753
64,FabExpress 7 Sandz,1370
65,OYO 48754 Arati Homes,1191
66,OYO 10800 Ma Homestay,1672
67,OYO 4877 Chandrasekharpur,1341
68,OYO 10493 near Patia,1597
69,OYO 11408 Hotel Sai Jagannath,1834
70,Hotel Royal Guest House,1600
71,OYO 26670 The Ranch,2550
72,OYO 15441 Apollo Paradise Guest House,2860
73,OYO 11946 Greenland Inn,1617
74,OYO 46929 Royal Blues,1195
75,OYO 15084 Lotus Residency,2682
76,OYO 16363 Advik Cottage,2847
77,OYO 17276 The Maple Tree Hotels,2669
78,OYO 14712 The New Garden Inn,2682
79,OYO 13924 Shree Gopal Residency,2886
80,OYO 22547 Avigna Residency,2618
81,Capital O 28420 The Kanchan Plaza,3608
82,OYO 13624 Kapoors Plaza Guest House,2741
83,OYO 23598 Home Elite Stay Nandankanan Park,1787
84,OYO 24739 Ap Guest House,2522
85,OYO 16722 The Countryside Resort,2618
86,Hotel Sambit Palace,1800
87,Saraswati Retreat,2229
88,OYO 2279 Greenwood Galaxy,1533
89,OYO 9564 near KIIT University,3035
