,hotelName,price
0,Hotel Vintage Villa,1013
1,The Suncity,1448
2,Ginger Hotel Bhubaneshwar,2488
3,Hotel Hindustan International Bhubaneswar (HHI),4423
4,Hotel Pushpak,2715
5,GOLDEN ORCHID,1830
6,Sambit Palace Bhubaneswar,744
7,Ashiyana Inn,618
8,Annapurna Inn,641
9,Hotel Durene,1716
10,Hotel Nirmal Inn,796
11,Hotel Sambit Royale,917
12,Shivangi international,579
13,Hotel Urmee,1759
14,Mango Hotels Prangan,2101
15,Hotel Grand Central,2418
16,Hotel Empires,2482
17,A2 White Rose,647
18,Tranquil Hospitality,840
19,Pal Heights,4463
20,Hotel Eden Roc,2561
21,OYO 13924 Shree Gopal Residency,1125
22,Hotel Arvind Inn,1632
23,THE TARA RESIDENCY,1593
24,Pal Heights Mantra,4200
25,Capital O 28034 Triple Tree Hotels & Resorts,1761
26,Second home,1000
27,Hotel Lingaraj Bhubaneswar,1584
28,OYO 10271 Hotel Guest INN,987
29,BJ's By the Way Tandoor Delight,None
30,White Residency,436
31,OYO 18845 Vishal Guest House,858
32,Hotel Royal Inn,1136
33,Mayfair Lagoon,None
34,OYO 11408 Hotel Sai Jagannath,1115
35,Hotel La Franklin,2385
36,Hotel Nirmala Residency,909
37,OYO 9010 Hotel Railview,1615
38,The Crown,3938
39,SOUTHCITY,699
40,OYO 49194 Hotel Sungreen,1594
41,Brothers Residency 2,642
42,VITS Bhubaneswar,3298
43,Collection O 22587 Vastukar Retreat,1477
44,Park Resort,904
45,Saikrishna Guest House,450
46,OYO 3803 Hotel Lal Quila,1704
47,Hotel Smile Inn,887
48,Moon Light Guest House 3,None
49,OYO 16363 Advik Cottage,982
50,SWAGAT INN,885
51,CASA Residency,1251
52,OYO 33400 OMM sai Plaza,1335
53,Hotel Arya Palace,1834
54,Saraswati Retreat,1250
55,OYO 49258 Ms Deluxe,895
56,HOTEL RAJDHANI,1072
57,Hotel Sandy's Tower,6345
58,Collection O 29524 The Urban Park,1960
59,Hotel Kalinga Ashok,2930
60,HOTEL 7SAAT,2640
61,OYO 1359 Hotel Best Inn,1215
62,Hotel Keshari,1030
63,ROYAL HERITAGE HOTEL,579
64,OYO 43609 MS Heritage,895
65,The Royale Midtown,3107
66,Kumud Plaza,1187
67,OYO 15441 Apollo Paradise Guest House,1488
68,Laughing Buddha Homestay,448
69,Nest Guest House,802
70,OYO 44255 Home Ramakrushna Choudhary,770
71,Ratna Resort,722
72,Padmaja Premium,5428
73,OYO 15084 Sai Lotus Residency,923
74,Radhika Resort,848
75,Hotel The Sutrupti,1543
76,OYO 17276 The Maple Tree Hotels,886
77,Hotel Sidharth,3076
78,Hotel landmark,1947
79,OYO 24317 Aditya Guest House 3,1133
80,WeKare,730
81,Hotel Suraj Palace,4182
82,OYO 28275 Archie Oasis,1449
83,S.R.S. GUEST HOUSE,727
84,SITEL GUEST HOUSE,1701
85,OYO 9964 Hotel Shine,1114
86,Hotel Atmaram,1740
87,Venus Nxt,1612
88,OYO 24789 Sidharth Residency,1302
89,Hotel Priya,None
90,Venus inn,None
91,OYO 9246 Paradise Inn,985
92,Maharaja Guest House,1452
93,Raydission Inn,1328
94,OYO 17435 The pinnacle home stay,1161
95,Hotel Annapurna,2512
96,Saransh Guest House,933
97,OYO 4720 Ma Guest House 2,1166
98,PATRA GUEST HOUSE,2012
99,Dakhinakali Residency,504
100,OYO 42258 Elegant Stay Near Railway Station,919
101,B & B A bed and breakfast,1315
102,Hotel Basera,1651
103,OYO 22547 Avigna Residency,1381
104,The New Marrion,None
105,Brothers Residency,495
106,OYO 22630 The Dream Palace,895
107,Hotel Tazz Odisha,1242
108,AIIMS NAGAR REST HOUSE,599
109,OYO 10493 MS Residency,934
110,Biraj Hotels,1400
111,The Lavenders Blue Home Stay,4116
112,OYO 16722 The Countryside Resort,1286
113,ODISHA HOMESTAY,1527
114,Shree Gopal Residency,802
115,OYO 35681 Shree Marg Guest House,953
116,B10 International,2567
117,Hotel Ashirbad Mandap,802
118,OYO 60276 Pleasant Stay Near Lingaraj Temple,1145
119,HOTEL GOKUL PLAZA,1537
120,MAA TARINI GUEST HOUSE,449
121,OYO 3553 Nayapalli,1125
122,Ghungur,1528
123,SPOGEDEN,660
124,OYO 19602 Omm Residency,1343
125,JSB Rooms,2510
126,Kalpana Residency,414
127,OYO 48754 Arati Homes,872
128,Khushi My 2nd Home,1286
129,Paradise Guest House,802
130,OYO 22510 Ma Classic Inn,1372
131,Bhubaneswar Homestay,2087
132,The Retreat,1343
133,OYO 8346 LazyStays,1146
134,Khandagiri Stay,835
135,Anjali Palace,807
136,OYO 14470 Kalinga Guest House,827
137,Moon Light Guest House 5,578
138,Sunshine Guest House,364
139,OYO 19144 Hotel Rainbow,1485
140,Hotel Deepali International,1031
141,Shree Vineeth's,1905
142,OYO 8741 Shree Jagannath Palace,1125
143,Sun City Homestay,951
144,Moon Light Guest House 4,665
145,OYO 18355 Hotel Moonlight,1231
146,Supriya Guest House (Double Bed Non AC Room),2386
147,Fortune Park Sishmo-Member ITC Hotel Group,None
148,OYO 47960 Spacious Stay Near ITER College,805
149,Excel Home Guest House,759
150,Silan Residency,785
151,OYO 14489 Hotel Aryan,883
152,MADHUR HOMESTAY,436
153,Pyramid Guest House,486
154,OYO 44227 Hotel Sri Govinda,826
155,Krishna Lodge,966
156,Pipul Bandhan Inn,967
157,OYO 14041 Evolve Residency,943
158,Mayurika Guest House 2,926
159,ROYAL Cottage,486
